Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"60338-1","City","Stuntz",2022,"Chimpanzee Smash Stunt Loop",3,226,49.99,69.99,89.99,54.99,5702017162072,,48,28.2,6.1,0.636,"",0,0,0,,0,0,,,,,,,,,42.7700,,"01/06/2022","31/12/2023"
"40541-1","BrickHeadz","Go Brick Me",2022,"Manchester United Go Brick Me",,530,17.99,19.99,24.99,19.99,5702017166926,,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,23.6800,,"01/08/2022","31/12/2023"
"21186-1","Minecraft","Minifig-scale",2022," The Ice Castle",6,499,44.99,49.99,64.99,49.99,5702017156644,,26.2,22.2,9.5,,"",0,0,0,,0,0,,,,,,,,,38.7700,,"01/06/2022","31/12/2023"
"80037-1","Monkie Kid","Season 3",2022,"Dragon of the East",4,880,54.99,79.99,99.99,59.99,5702017153780,,54,28.2,5.9,,"",0,0,0,,0,0,,,,,,,,,58.5400,,"01/06/2022","31/12/2023"
"11024-1","Classic","Baseplates",2022,"Gray Baseplate",,1,12.99,14.99,17.99,14.99,5702017185279,,,,,,"",0,0,0,,0,0,,,,,,,,,12.5300,7.0400,"",""
"11017-1","Classic","Creative Fun",2022,"Creative Monsters",,140,8.99,9.99,13.99,9.99,5702017117485,,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,8.5400,,"01/03/2022","31/12/2024"
"21187-1","Minecraft","Minifig-scale",2022,"The Red Barn",3,799,89.99,99.99,129.99,99.99,5702017156675,,54,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,92.0200,,"01/06/2022","31/07/2023"
"60387-1","City","Great Vehicles",2023,"4x4 Off-Roader Adventures",2,252,24.99,29.99,39.99,29.99,5702017416427,,35.4,19.1,7,0.514,"",0,0,0,,0,0,,,,,,,,,24.3300,,"01/01/2023","31/12/2024"
"40542-1","BrickHeadz","Go Brick Me",2022,"FC Barcelona Go Brick Me",,530,17.99,19.99,24.99,19.99,5702017241760,,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,23.7700,,"01/08/2022","31/12/2023"
"41708-1","Friends","Heartlake City",2022,"Roller Disco Arcade",3,642,54.99,59.99,74.99,59.99,5702017155098,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,46.7600,,"01/06/2022","31/12/2023"
"43207-1","Disney","The Little Mermaid",2022,"Ariel's Underwater Palace",3,498,89.99,99.99,129.99,99.99,5702017154343,,37.8,35.4,7.1,,"",0,0,0,,0,0,,,,,,,,,62.3200,,"01/03/2022","31/12/2023"
"21240-1","Minecraft","Minifig-scale",2023,"The Swamp Adventure",2,65,8.99,9.99,13.99,9.99,,,14.1,12.2,4.6,,"",0,0,0,,0,0,,,,,,,,,8.8900,,"01/01/2023","31/12/2024"
"41707-1","Friends","Science",2022,"Tree-Planting Vehicle",2,336,24.99,29.99,39.99,29.99,5702017155081,,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,22.4800,,"01/01/2022","31/12/2023"
"76254-1","Marvel Super Heroes","Guardians of the Galaxy Vol. 3",2023,"Baby Rocket's Ship",,330,29.99,34.99,44.99,34.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"76253-1","Marvel Super Heroes","Guardians of the Galaxy Vol. 3",2023,"Guardians of the Galaxy Headquarters",,67,8.99,9.99,13.99,9.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"43196-1","Disney","Beauty and the Beast",2021,"Belle and the Beast's Castle",9,505,89.99,89.99,109.99,99.99,5702016916447,673419341929,37.8,35.4,7.1,,"",0,0,0,,0,0,,,,,,,,,59.2600,,"01/06/2021","31/12/2023"
"76225-1","Marvel Super Heroes","Spider-Man",2022,"Miles Morales Figure",,238,24.99,24.99,34.99,29.99,,,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,21.6200,,"01/09/2022","31/12/2023"
"80033-1","Monkie Kid","Season 3",2022,"Evil Macaque's Mech",5,893,59.99,89.99,119.99,64.99,5702017153155,,35.4,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,69.8500,58.9900,"01/01/2022","31/12/2023"
"76255-1","Marvel Super Heroes","Guardians of the Galaxy Vol. 3",2023,"The New Guardians' Ship",,1108,89.99,99.99,129.99,99.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"80038-1","Monkie Kid","Season 3",2022,"Monkie Kid's Team Van",6,1406,89.99,129.99,169.99,99.99,5702017153797,,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,102.6200,,"01/06/2022","31/12/2023"
"854030-1","Gear","Magnets/Locations",2020,"Empire State Building Magnet",,,,9.99,12.99,,,673419325509,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"60355-1","City","Missions",2022,"Water Police Detective Missions",2,278,24.99,39.99,49.99,29.99,5702017189765,,28.2,26.2,5.9,,"",0,0,0,,0,0,,,,,,,,,23.1700,,"01/06/2022","31/12/2023"
"71776-1","Ninjago","Core",2022,"Jay and Nya's Race Car EVO",4,536,44.99,49.99,64.99,49.99,5702017189628,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,60.3000,,"01/01/2022","31/12/2023"
"71786-1","Ninjago","Core",2023,"Zane's Ice Dragon Creature",5,973,89.99,99.99,129.99,99.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,80.4500,,"",""
"11022-1","Classic","Miscellaneous",2022,"Space Mission",,1700,69.99,69.99,89.99,79.99,5702017189215,,37.8,26.2,22.4,,"",0,0,0,,0,0,,,,,,,,,67.0200,,"01/06/2022","31/12/2023"
"5005375-1","Gear","Storage",2017,"Minifigure Display Case 16",,,29.99,34.99,44.99,32.99,5711938023621,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"21190-1","Minecraft","Minifig-scale",2022,"The Abandoned Village",3,422,44.99,44.99,59.99,49.99,5702017233260,,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,40.7900,,"01/08/2022","31/12/2023"
"60339-1","City","Stuntz",2022,"Double Loop Stunt Arena",7,598,129.99,159.99,199.99,149.99,5702017162089,,58.2,37.8,8.7,1.473,"",0,0,0,,0,0,,,,,,,,,110.6400,,"01/06/2022","31/12/2023"
"31123-1","Creator","3 in 1",2022,"Off-Road Buggy",,160,12.99,14.99,19.99,14.99,5702017117577,,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,12.7900,6.0000,"01/03/2022","31/07/2023"
"31140-1","Creator","3 in 1",2023,"Magical Unicorn",,145,8.99,9.99,13.99,9.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"853946-1","Gear","Key Chains/Star Wars",2019,"Stormtrooper Keyring",,,4.99,5.99,7.99,5.99,,673419305884,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"88008-1","Powered Up","",2019,"Medium Linear Motor",,1,14.99,16.99,19.99,16.99,,673419309080,,,,0.047,"",0,0,0,,0,0,,,,,,,,,17.8300,17.6300,"",""
"11025-1","Classic","Baseplates",2022,"Blue Baseplate",,1,7.99,7.99,9.99,8.99,5702017185286,,,,,,"",0,0,0,,0,0,,,,,,,,,7.8100,,"",""
"854187-1","Gear","Key Chains/Star Wars",2022,"Grogu Key Chain",,,4.99,5.99,7.99,5.99,,673419361262,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"850154-1","Gear","Key Chains/Brick",2007,"Red Brick Key Chain",,,4.99,5.99,7.99,5.99,673419254069,673419254069,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"43209-1","Disney","Frozen II",2022,"Elsa and the Nokk's Ice Stable",1,53,12.99,14.99,19.99,14.99,5702017154367,,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,9.7500,,"01/03/2022","31/12/2023"
"11015-1","Classic","Miscellaneous",2021,"Around the World",,950,44.99,49.99,69.99,49.99,5702016914146,673419339841,38.2,26.2,9.4,,"",0,0,0,,0,0,,,,,,,,,34.9600,,"01/06/2021","31/07/2023"
"41699-1","Friends","Heartlake City",2022,"Pet Adoption Café",2,292,24.99,29.99,39.99,29.99,5702017152738,,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,25.3200,,"01/03/2022","31/12/2023"
"854186-1","Gear","Key Chains/Star Wars",2022,"Ahsoka Tano Key Chain",,,4.99,5.99,7.99,5.99,,673419361255,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"43203-1","Disney","Disney Princess",2022,"Aurora, Merida and Tiana's Enchanted Creations",3,558,59.99,69.99,89.99,64.99,5702017154305,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,53.3500,,"01/01/2022","31/07/2023"
"11019-1","Classic","Bricks",2022,"Bricks and Functions",,500,29.99,29.99,39.99,34.99,5702017117584,,26.2,22.2,9.5,,"",0,0,0,,0,0,,,,,,,,,23.2000,,"01/03/2022","31/12/2023"
"80043-1","Monkie Kid","Season 4",2023,"Yellow Tusk Elephant",5,844,59.99,79.99,99.99,69.99,,,37.8,35.4,7.1,,"",0,0,0,,0,0,,,,,,,,,96.1700,,"01/01/2023","31/12/2024"
"71782-1","Ninjago","Core",2023,"Cole's Earth Dragon EVO",2,285,29.99,34.99,44.99,34.99,,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,29.7200,,"01/01/2023","31/12/2024"
"60374-1","City","Fire",2023,"Fire Command Truck",3,502,49.99,64.99,79.99,54.99,5702017416342,,48,28.2,6.1,0.926,"",0,0,0,,0,0,,,,,,,,,55.7000,,"01/01/2023","31/12/2024"
"60393-1","City","Fire",2023,"4x4 Fire Truck Rescue",1,97,8.99,9.99,13.99,9.99,5702017416588,,15.7,14.1,4.5,0.158,"",0,0,0,,0,0,,,,,,,,,10.8700,,"01/01/2023","31/12/2023"
"42155-1","Technic","Licensed",2023,"The Batman - Batcycle",,641,49.99,49.99,64.99,54.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"41948-1","Dots","Accessories",2022,"Cute Banana Pen Holder",,438,17.99,19.99,24.99,19.99,5702017155715,,28,22.5,5,,"",0,0,0,,0,0,,,,,,,,,15.0900,,"01/01/2022","31/12/2023"
"10949-1","Duplo","",2021,"Farm Animal Care",,11,8.99,9.99,13.99,9.99,5702016888867,673419336277,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,6.9600,,"01/03/2021","31/12/2023"
"41803-1","Dots","Extra Dots",2023,"Extra DOTS Series 8 - Glitter and Shine",,115,3.49,3.99,4.99,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.0300,,"",""
"40621-1","BrickHeadz","Disney",2023,"Moana & Merida",,410,17.99,19.99,24.99,19.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"40620-1","BrickHeadz","Disney",2023,"Cruella & Maleficent",,320,17.99,19.99,24.99,19.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"42149-1","Technic","Licensed",2023,"Monster Jam Dragon",,217,17.99,19.99,24.99,19.99,,,26.2,14.1,9.1,,"",0,0,0,,0,0,,,,,,,,,17.4200,,"01/01/2023","31/12/2024"
"42153-1","Technic","Licensed",2023,"NASCAR Next Gen Chevrolet Camaro ZL1",,672,44.99,49.99,64.99,49.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"853998-1","Gear","Key Chains/Disney",2020,"Mickey Mouse Key Chain",,,4.99,5.99,7.99,5.99,,673419324083,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10944-1","Duplo","",2021,"Space Shuttle Mission",2,23,17.99,19.99,24.99,19.99,5702016911039,673419338363,28.2,26.2,9.6,,"",0,0,0,,0,0,,,,,,,,,14.5700,,"01/05/2021","31/12/2023"
"88013-1","Powered Up","",2020,"Technic Large Motor",,1,29.99,39.99,49.99,34.99,,673419334341,,,,,"",0,0,0,,0,0,,,,,,,,,22.0900,11.4900,"",""
"31135-1","Creator","3 in 1",2023,"Vintage Motorcycle",,128,12.99,14.99,19.99,14.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"42150-1","Technic","Licensed",2023,"Monster Jam Monster Mutt Dalmatian",,244,17.99,19.99,24.99,19.99,,,26.2,14.1,9.1,,"",0,0,0,,0,0,,,,,,,,,17.3600,,"01/01/2023","31/12/2024"
"10899-1","Duplo","Disney Princess",2019,"Frozen Ice Castle",3,59,44.99,49.99,64.99,49.99,5702016367614,,35.4,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,50.3300,,"01/08/2019","31/12/2023"
"5004892-1","Gear","Storage",2015,"Minifigure Display Case 16 – Red",1,,,34.99,44.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,74.2900,,"",""
"88010-1","Powered Up","",2018,"Remote Control",,1,19.99,22.99,29.99,22.99,,673419309103,,,,,"",0,0,0,,0,0,,,,,,,,,21.2000,19.0400,"",""
"11014-1","Classic","Bricks",2021,"Bricks and Wheels",,653,44.99,39.99,49.99,49.99,5702016889192,673419336550,28.2,26.2,9.6,,"",0,0,0,,0,0,,,,,,,,,39.7000,,"01/03/2021","31/12/2024"
"2000414-1","Serious Play","",2010,"Starter Kit",,219,21.99,36.99,36.99,24.99,5702014536678,,,,,0.59,"",0,0,0,,0,0,,,,,,,,,31.0000,31.8200,"",""
"41733-1","Friends","General",2023,"Mobile Bubble Tea Shop",2,109,8.99,9.99,13.99,9.99,,,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,8.4000,,"01/01/2023","31/12/2023"
"60371-1","City","Medical",2023,"Emergency Vehicles HQ",5,706,59.99,69.99,89.99,64.99,5702017416311,,53.5,27.8,7.3,1.401,"",0,0,0,,0,0,,,,,,,,,63.4900,,"",""
"60372-1","City","Police",2023,"Police Training Academy",6,823,79.99,99.99,129.99,89.99,5702017416328,,54,28.2,9.1,1.58,"",0,0,0,,0,0,,,,,,,,,78.6200,,"01/01/2023","31/12/2024"
"43194-1","Disney","Frozen",2021,"Anna and Elsa's Frozen Wonderland",6,154,39.99,44.99,59.99,44.99,5702016909654,673419337618,28.2,26.2,5.9,,"",0,0,0,,0,0,,,,,,,,,29.0900,,"01/06/2021","31/12/2023"
"43205-1","Disney","Disney Princess",2022,"Ultimate Adventure Castle",5,698,89.99,99.99,129.99,99.99,5702017154329,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,75.2700,,"01/07/2022","31/12/2024"
"853999-1","Gear","Key Chains/Disney",2020,"Minnie Mouse Key Chain",,,4.99,5.99,7.99,5.99,,673419324090,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10931-1","Duplo","",2020,"Truck & Tracked Excavator",2,20,17.99,19.99,24.99,19.99,5702016618204,673419318976,28.2,26.2,9.6,0.58,"",0,0,0,,0,0,,,,,,,,,16.6000,,"01/06/2020","31/12/2025"
"41719-1","Friends","Art",2022,"Mobile Fashion Boutique",2,94,8.99,9.99,13.99,9.99,5702017154947,,14.1,12.2,6.1,,"",0,0,0,,0,0,,,,,,,,,9.4100,,"01/06/2022","31/12/2023"
"31137-1","Creator","3 in 1",2023,"Adorable Dogs",,475,24.99,29.99,39.99,29.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"71415-1","Super Mario","Expansion Set",2023,"Ice Mario Suit and Frozen World",,105,19.99,24.99,34.99,24.99,,,26.2,14.1,4.8,,"",0,0,0,,0,0,,,,,,,,,22.0000,,"01/01/2023","31/12/2023"
"21241-1","Minecraft","Minifig-scale",2023,"The Bee Cottage",2,254,17.99,24.99,32.99,19.99,,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,16.3700,,"01/01/2023","31/12/2024"
"71414-1","Super Mario","Expansion Set",2023,"Conkdor's Noggin Bopper",1,130,12.99,14.99,19.99,14.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"41735-1","Friends","Great Outdoors",2023,"Mobile Tiny House",3,785,59.99,64.99,84.99,64.99,,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,46.8000,,"01/01/2023","31/12/2023"
"80040-1","Monkie Kid","Season 4",2023,"Monkie Kid's Combi Mech",2,277,17.99,19.99,24.99,19.99,,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,32.1500,,"01/01/2023","31/12/2024"
"71800-1","Ninjago","Core",2023,"Nya's Water Dragon EVO",3,173,17.99,19.99,24.99,19.99,,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,27.3700,,"01/01/2023","31/12/2024"
"21244-1","Minecraft","Minifig-scale",2023,"The Sword Outpost",,427,39.99,44.99,59.99,44.99,,,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,37.9900,,"01/01/2023","31/12/2024"
"11031-1","Classic","Creative Fun",2023,"Creative Monkey Fun",,135,8.99,9.99,13.99,9.99,,,15.7,14.1,4.5,,"",0,0,0,,0,0,,,,,,,,,,,"01/01/2023","31/12/2023"
"41730-1","Friends","Houses",2023,"Autumn's House",4,853,59.99,69.99,89.99,69.99,,,54,28.2,7.9,,"",0,0,0,,0,0,,,,,,,,,60.3500,,"01/01/2023","31/12/2024"
"60373-1","City","Fire",2023,"Fire Rescue Boat",3,144,17.99,29.99,39.99,19.99,5702017416335,,26.2,19.1,6.1,0.349,"",0,0,0,,0,0,,,,,,,,,17.9200,,"01/01/2023","31/12/2024"
"41716-1","Friends","Summer",2022,"Stephanie's Sailing Adventure",3,304,39.99,39.99,49.99,44.99,5702017154152,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,30.5300,,"01/06/2022","31/12/2023"
"41729-1","Friends","Heartlake City",2023,"Organic Grocery Store",5,830,79.99,89.99,119.99,89.99,,,54,28.2,7.9,,"",0,0,0,,0,0,,,,,,,,,,,"01/01/2023","31/12/2023"
"21246-1","Minecraft","Minifig-scale",2023,"The Deep Dark Battle",,584,59.99,64.99,84.99,64.99,,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,60.5000,,"01/01/2023","31/12/2024"
"41718-1","Friends","Heartlake City",2022,"Pet Day-Care Center",4,593,59.99,69.99,89.99,64.99,5702017154930,,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,52.4100,,"01/03/2022","31/12/2023"
"10930-1","Duplo","",2020,"Bulldozer",1,10,8.99,9.99,13.99,9.99,5702016618198,673419318969,19.1,14.1,9.1,0.22,"",0,0,0,,0,0,,,,,,,,,7.1300,,"01/06/2020","31/12/2022"
"71781-1","Ninjago","Core",2023,"Lloyd's Mech Battle EVO",2,223,17.99,19.99,24.99,19.99,,,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,15.9200,,"01/01/2023","31/12/2023"
"71418-1","Super Mario","Maker Set",2023,"Creativity Toolbox",4,588,54.99,59.99,79.99,59.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,45.9700,,"",""
"41705-1","Friends","Heartlake City",2022,"Heartlake City Pizzeria",2,144,12.99,14.99,19.99,14.99,5702017152769,,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,10.9600,,"01/06/2022","31/12/2023"
"71419-1","Super Mario","Expansion Set",2023,"Peach's Garden Balloon Ride",5,453,44.99,49.99,64.99,49.99,,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,,,"01/01/2023","31/07/2024"
"71417-1","Super Mario","Expansion Set",2023,"Fliprus Snow Adventure",,567,59.99,64.99,84.99,64.99,,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,45.4400,,"01/01/2023","31/12/2023"
"41755-1","Friends","Bedrooms",2023,"Nova's Room",2,179,17.99,19.99,24.99,19.99,,,20.5,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,,,"01/01/2023","31/12/2024"
"60392-1","City","Police",2023,"Police Bike Car Chase",2,59,8.99,9.99,13.99,9.99,5702017416571,,15.7,14.1,4.5,0.114,"",0,0,0,,0,0,,,,,,,,,9.7100,,"01/01/2023","31/12/2024"
"31134-1","Creator","3 in 1",2023,"Space Shuttle",,144,8.99,9.99,13.99,9.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"42152-1","Technic","",2023,"Firefighter Aircraft",,1134,94.99,99.99,129.99,109.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"76256-1","Marvel Super Heroes","Ant-Man and the Wasp: Quantumania",2023,"Ant-Man Construction Figure",,289,29.99,29.99,39.99,34.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"71416-1","Super Mario","Expansion Set",2023,"Lava Wave Ride",3,218,29.99,34.99,44.99,34.99,,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,26.3000,,"01/01/2023","31/12/2023"
"71787-1","Ninjago","Core",2023,"Creative Ninja Brick Box",6,530,54.99,59.99,79.99,59.99,,,37,18,18,,"",0,0,0,,0,0,,,,,,,,,50.3100,,"01/01/2023","31/12/2024"
"80041-1","Monkie Kid","Season 4",2023,"Mei's Dragon Jet",3,246,17.99,19.99,24.99,19.99,,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,,,"01/01/2023","31/12/2024"
"854203-1","Gear","Key Chains/Disney",2022,"Eeyore Key Chain",,,4.99,5.99,7.99,5.99,,673419363815,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007067-1","Gear","Jigsaw",2022,"LEGO IDEAS Minifigure Space Mission Puzzle",,,15.99,17.99,19.99,17.99,9781797214146,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"80030-1","Monkie Kid","Miscellaneous",2022,"Monkie Kid's Staff Creations",2,309,29.99,39.99,49.99,34.99,5702017153131,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,32.7700,,"01/01/2022","31/12/2023"
"41721-1","Friends","Farm",2022,"Organic Farm ",4,826,89.99,89.99,119.99,99.99,5702017154961,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,58.6500,,"01/06/2022","31/12/2023"
"854114-1","Gear","Key Chains/Harry Potter",2021,"Harry Potter Keyring",,,4.99,5.99,7.99,5.99,,673419342711,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"11018-1","Classic","Creative Fun",2022,"Creative Ocean Fun",,333,17.99,19.99,24.99,19.99,5702017117591,,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,17.2200,,"01/03/2022","31/12/2023"
"5005528-1","Gear","Storage",2020,"Storage Head Large (Boy)",,,21.99,34.99,37.99,24.99,5711938030216,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"43214-1","Disney","Tangled",2023,"Twirling Rapunzel",1,89,8.99,9.99,13.99,9.99,,,12.2,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,7.9000,,"01/01/2023","31/12/2024"
"43210-1","Disney","Moana",2023,"Moana's Wayfinding Boat",2,321,29.99,34.99,44.99,34.99,,,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,31.0200,,"01/01/2023","31/12/2024"
"21242-1","Minecraft","Minifig-scale",2023,"The End Arena",3,252,19.99,24.99,32.99,24.99,,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,21.4800,,"01/01/2023","31/12/2024"
"21243-1","Minecraft","Minifig-scale",2023,"The Frozen Peaks",3,304,29.99,34.99,44.99,34.99,,,26.2,22.2,7.6,,"",0,0,0,,0,0,,,,,,,,,28.7700,,"01/01/2023","31/12/2024"
"854115-1","Gear","Key Chains/Harry Potter",2021,"Hermione Keyring",,,4.99,5.99,7.99,5.99,,673419342728,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10976-1","Duplo","Seasonal",2022,"Santa's Gingerbread House",3,50,29.99,34.99,44.99,34.99,5702017153735,,38,26,9,0.785,"",0,0,0,,0,0,,,,,,,,,28.0900,,"01/09/2022","31/12/2023"
"10964-1","Duplo","",2022,"Bath Time Fun: Floating Red Panda",,5,8.99,9.99,13.99,9.99,5702017153582,,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,8.1100,,"01/01/2022","31/12/2023"
"21245-1","Minecraft","Minifig-scale",2023,"The Panda Haven",,553,44.99,49.99,64.99,49.99,,,26.2,28.2,9.6,,"",0,0,0,,0,0,,,,,,,,,43.3400,,"01/01/2023","31/12/2024"
"854193-1","Gear","Key Chains/Disney",2022,"Tigger Key Chain",,,4.99,5.99,7.99,4.99,,673419362078,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"853666-1","Gear","Key Chains/Miscellaneous",2017,"Shark Suit Guy Key Chain",,,3.99,5.99,7.99,4.99,673419269599,673419269599,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"41963-1","Dots","Disney",2022,"Mickey Mouse & Minnie Mouse Stitch-on Patch",,95,5.99,5.99,7.99,6.99,5702017156330,,9.2,12.8,2.8,,"",0,0,0,,0,0,,,,,,,,,7.1700,,"01/08/2022","31/12/2023"
"41720-1","Friends","Summer",2022,"Water Park",3,373,54.99,49.99,64.99,59.99,5702017154954,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,46.6300,,"01/06/2022","31/12/2023"
"41742-1","Friends","Heartlake City",2023,"Cat Hotel",2,445,24.99,29.99,39.99,29.99,,,26.2,22.2,7.6,,"",0,0,0,,0,0,,,,,,,,,,,"01/01/2023","31/12/2023"
"71784-1","Ninjago","Core",2023,"Jay's Lightning Jet EVO",1,146,8.99,9.99,13.99,9.99,,,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,9.1500,,"01/01/2023","31/12/2024"
"41728-1","Friends","Heartlake City",2023,"Heartlake Downtown Diner",3,346,24.99,29.99,39.99,29.99,,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,,,"01/01/2023","31/12/2024"
"10941-1","Duplo","Mickey",2021,"Mickey & Minnie Birthday Train",2,22,29.99,29.99,39.99,34.99,5702016911404,,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,22.2700,,"01/01/2021","31/12/2025"
"10965-1","Duplo","",2022,"Bath Time Fun: Floating Animal Train",,14,17.99,19.99,24.99,19.99,5702017153599,,35.4,19.1,9.1,,"",0,0,0,,0,0,,,,,,,,,15.6200,,"01/01/2022","31/12/2025"
"71759-1","Ninjago","Core",2022,"Ninja Dragon Temple",4,161,39.99,44.99,54.99,44.99,5702017151991,,28.2,26.2,5.9,,"",0,0,0,,0,0,,,,,,,,,31.5400,,"01/06/2022","31/07/2023"
"71780-1","Ninjago","Core",2023,"Kai's Ninja Race Car EVO",1,94,8.99,9.99,13.99,9.99,,,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,9.3300,,"01/01/2023","31/12/2024"
"5005870-1","Gear","Housewares",2020,"Red Bright Blue and Yellow Wall Hanger Set",,,,11.99,14.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"71783-1","Ninjago","Core",2023,"Kai's Mech Rider EVO",4,312,39.99,44.99,54.99,44.99,,,26.2,22.2,7.6,,"",0,0,0,,0,0,,,,,,,,,39.7700,,"01/01/2023","31/12/2024"
"854196-1","Gear","Key Chains/Disney",2022,"Goofy Key Chain",,,4.99,5.99,7.99,5.99,,673419361491,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854188-1","Gear","Key Chains/Star Wars",2022,"Darth Maul Key Chain",,,4.99,5.99,7.99,5.99,,673419361279,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
